sundanese,indonesian
"Tuluy pamustunganana sakura anu geus nyieun saré sai,kiba sarta rock lee anjog di hareup sasuke sarta ménta pikeun milu kalayanana.Tétéla sasuke ngan berpura-pura menuruti kedalan sakura sarta saterusna narajangna diwaktu éta pisan kakashi anjog sarta bertarung kalayan sasuke.Diwaktu bertarung kalayan kakashi tiba2 panon sasuke karasaeun gering sarta manéhna kaleungitan pangabisa susanoo pikeun samentara,Sakura anu nempo kaayaan éta saterusna mecakan maéhan sasuke tétéla sasuke kalayan gampangna ngabales serangan sakura sarta narajangna tuluy anjog anjog naruto mecenghul sarta nyalametkeun sakura.Pamustunganana naruto sarta sasuke ogé papanggih di waktu éta terjadilah silih serang anjog anjog muncullah zetsu sarta tobi anu mantuan sasuke pikeun kabur ti pertarungan éta.Sanggeus éta naruto ogé balik ka désa.Sawaktu di désa naruto anjog anjog digeroan ku sasipuh katak pikeun ngomong ramalannya sarta ngaleupaskeun jurus penyegelan kyubi.Di séjén pihak kisame anu disangka geus mati tétéla masih hirup sarta jadi panon panon pikeun nyaho strategi nagara guludug.sarta waktu sasuke di bawa tobi/madara pikeun memukihkan kaayaan sasuke anjog anjog mecenghul kabuto pikeun ngajak madara bernegosiasi kalayan mawa jasad sasori,kakuzu,deidara,nagato,dan itachi Perang Dunya Shinobi Kaopat Naruto dititah katempat killer bee latihan,di léngkob awan guludug.sangkan naruto bisa dilatih pikeun ngadalikeun bijuu na nyaéta kyuubi,tetapi killer bee kalahka nampik, mangka naruto megatkeun latihan sorangan di cai terjun tempat bee latihan tapi ujug-ujug dibalik cai terjun mecenghul diri naruto anu jahat, anu salila ieu ngawasa diri naruto waktu melepas cakra kyuubi anu kitu badag.naruto ogé nyerah alatan diri naruto anu jahat ngabogaan kakuatan anu sarua jeung na,naruto ngaregepkeun carita ngeunaan mangsa katukang killer bee 30 warsih anu tuluy, sarta naruto ogé mengerti yén killer bee mangsa katukang na sarua jeung na, saurang jicuriki.diapun ménta hampura sarta killer bee ogé megatkeun pikeun ngawurukan Naruto.","Lalu akhirnya sakura yang telah membuat tidur sai,kiba dan rock lee tiba di depan sasuke dan meminta untuk ikut dengannya .Ternyata sasuke hanya berpura-pura menuruti ucapan sakura dan kemudian menyerangnya disaat itulah kakashi tiba dan bertarung dengan sasuke.Disaat bertarung dengan kakashi tiba2 mata sasuke terasa sakit dan ia kehilangan kemampuan susanoo untuk sementara,Sakura yang melihat keadaan itu kemudian mencoba membunuh sasuke ternyata sasuke dengan mudahnya membalas serangan sakura dan menyerangnya lalu tiba tiba naruto muncul dan menyelamatkan sakura.Akhirnya naruto dan sasuke pun bertemu di saat itu terjadilah saling serang tiba tiba muncullah zetsu dan tobi yang membantu sasuke untuk kabur dari pertarungan itu.Setelah itu naruto pun kembali ke desa .Sewaktu di desa naruto tiba tiba dipanggil oleh sesepuh katak untuk mengatakan ramalannya dan membebaskan jurus penyegelan kyubi.Di lain pihak kisame yang disangka telah mati ternyata masih hidup dan menjadi mata mata untuk mengetahui strategi negara petir.dan saat sasuke di bawa tobi/madara untuk memulihkan kondisi sasuke tiba tiba muncul kabuto untuk mengajak madara bernegosiasi dengan membawa jasad sasori,kakuzu,deidara,nagato,dan itachi Melindungi Jinchuriki."
Junichiro Koizumi,Junichiro Koizumi
Préféktur di Jepang,Daftar prefektur di Jepang
"Préféktur di Jepang nyaeta bagean-nasional sacara hukum, aya 47 préféktur nyaeta : hiji ""metropolis"" (都 ""to""), Tokyo; hiji ""circuit"" (道 ""dō""), Hokkaidō; dua préféktur urban (府 ""fu""), Osaka jeung Kyoto; sarta 43 perfektur sejen (県 ""ken"").","Prefektur Jepang adalah 47 yurisdiksi sub-nasional Jepang: satu ""metropolis"" (都; To), Tokyo; satu ""sirkuit"" (道; Dō), Hokkaidō; dua prefektur perkotaan (府; Fu), Osaka dan Kyoto; dan 43 prefektur lainnya (県; Ken)."
"Dina Basa Jepang, ilaharna disebut ""todōfuken"" (都道府県).","Dalam bahasa Jepang, mereka disebut ""Todōfuken"" (都道府県). Daftar Prefektur Jepang."
Hideo Kojima,Hideo Kojima
Anjeunna ayeuna jadi kepala studio di Kojima Productions.,Dia sekarang mengepalai studio dari Kojima Productions.
Awal Hirup.,Kehidupan awal.
"Mimitina anjeunna hoyong jadi seniman atawa ilustrator, anjeunna osok kuciwa ku aturan-aturan masarakat Jepang anu osok manggihan kaamanan jeung pagawéan anu gajina alus.","Awalnya ingin menjadi seorang seniman atau ilustrator, ia sering kecewa dengan norma-norma masyarakat Jepang yang suka menemukan keamanan dan menemukan pekerjaan dengan gaji baik."
Anjeunna ogé kuciwa kusabab pamanna ogé saurang seniman tapi kasusahan dina segi ekonomi.,Dia juga kecewa karena pamannya juga seorang seniman tetapi mengalami kesulitan keuangan.
Ahirna anjeunna pindah kana nyieun film jeung babaturanna anu boga kamera 8mm.,"Dia akhirnya mulai menulis cerita pendek dan mulai mengirimkannya ke majalah Jepang, namun tidak pernah bisa mendapatkan penerbitkan."
Kabupatén Tasikmalaya,Kabupaten Tasikmalaya
"Kabupatén Tasikmalaya mangrupakeun kabupatén di Propinsi Jawa Barat, Indonesia.","Kabupaten Tasikmalaya, () adalah sebuah kabupaten di Provinsi Jawa Barat."
Géografi.,Geografi.
"Sabagéan gedé wilayah Kabupatén Tasikmalaya mangrupa daérah pagunungan, kalayan puncakna Gunung Galunggung jung Gunung Talagabodas.","Sebagian besar wilayah Kabupaten Tasikmalaya merupakan daerah perbukitan, khususnya di daerah timur Kabupaten."
Angklung,Angklung
"Angklung geus dipikawanoh ku masarakat Sunda ti jaman karajaan Sunda, di antarana pikeun ngagedurkeun sumanget dina pangperangan.","Dikenal oleh masyarakat sunda sejak masa kerajaan Sunda, di antaranya sebagai penggugah semangat dalam pertempuran."
Fungsi angklung pikeun ngahudang sumanget ieu jadi sabab dicaramna ieu kasenian ku pamaréntah jajahan Hindia Walanda.,"Fungsi angklung sebagai pemompa semangat rakyat masih terus terasa sampai pada masa penjajahan, itu sebabnya pemerintah Hindia Belanda sempat melarang masyarakat menggunakan angklung, pelarangan itu sempat membuat popularitas angklung menurun dan hanya di mainkan oleh anak- anak pada waktu itu. Selanjutnya lagu-lagu persembahan terhadap Dewi Sri tersebut disertai dengan pengiring bunyi tabuh yang terbuat dari batang-batang bambu yang dikemas sederhana yang kemudian lahirlah struktur alat musik bambu yang kita kenal sekarang bernama angklung. Demikian pula pada saat pesta panen dan seren taun dipersembahkan permainan angklung."
Angklung Gubrag.,Angklung Gubrag.
"Angklung gubrag ayana di kampung Cipining, kecamatan Cigudeg, Bogor.","Angklung gubrag terdapat di kampung Cipining, kecamatan Cigudeg, Bogor."
"Ieu angklung umurna geus kolot, dipaké dina upacara melak, ngunjal, jeung ngadiukkeun paré ka leuit.","Angklung ini telah berusia tua dan digunakan untuk menghormati dewi padi dalam kegiatan melak pare (menanam padi), ngunjal pare (mengangkut padi), dan ngadiukeun (menempatkan) ke ""leuit"" (lumbung)."
"Dumasar carita turun-tumurun, ieu angklung téh mimiti aya dina hiji mangsa paceklik.",Dalam mitosnya angklung gubrag mulai ada ketika suatu masa kampung Cipining mengalami musim paceklik.
"Bentuk kasenian angklung ieu dipaké pikeun kapentingan da'wah Islam, kira abad ka-16 atawa 17.",Sebagai seni untuk dakwah badeng dipercaya berkembang sejak Islam menyebar di daerah ini sekitar abad ke-16 atau 17.
"Harita, Arpaén jeung Nursaen (dua warga Sanding), diajar Islam ka Demak.","Pada masa itu penduduk Sanding, Arpaen dan Nursaen, belajar agama Islam ke kerajaan Demak."
"Tembang-tembang badéng anu kawentar, di antarana ""Lailaha illalloh"", ""Ya’ti"", ""Kasréng"", ""Yautika"", ""Lilimbungan"", jeung ""Solaloh"".","Lagu-lagu badeng: ""Lailahaileloh"", ""Ya’ti"", ""Kasreng"", ""Yautike"", ""Lilimbungan"", ""Solaloh""."
Buncis.,Buncis.
"Buncis téh seni pintonan nu watekna hiburan, nu utamana kawentar di wewengkon Baros (Arjasari, Bandung).","Buncis merupakan seni pertunjukan yang bersifat hiburan, di antaranya terdapat di Baros (Arjasari, Bandung)."
Steven Gerrard,Steven Gerrard
Anjeunna miboga 2 urang budak awéwé nu ngaranna Lily Ella jeung Lexie.,Steven Gerrard memiliki 2 orang anak perempuan bernama Lily Ella dan Lexie.
Métamorfosis,Metamorfosis
Métamorfosis serangga.,Metamorfosis serangga.
Palu,Palu (alat)
Palu atawa martil nyaéta pakakas anu dipaké pikeun nakol hiji barang.,Palu atau Martil adalah alat yang digunakan untuk memberikan tumbukan kepada benda.
"Wngun umum palu nyaéta boga gagang jeung hulu, kalawan bagian anu leuwih beurat dina huluna.","Bentuk umum palu terdiri dari gagang palu dan kepala palu, dengan sebagian besar berat berada di kepala palu."
Palu mungkin pakakas anu pangkolotna anu masih kénéħ nyampak nepika kiwari.,"Desain dasar palu agar mudah digunakan, tetapi ada juga model palu mekanis yang dioperasikan untuk keperluan yang lebih besar."
Palu batu dipikawanoh geus dipaké ti semet taun 2.600.000 Saméméh Maséhi .,Palu mungkin adalah peralatan paling tua yang masih diketahui keberadaannya.
Palu nyaéta pakakas dasar pikeun rupa-rupa profési.,Palu dari batu diketahui telah digunakan sejak tahun 2.600.000 Sebelum Masehi.
"Minangka analogina, palu ogé dipaké pikeun pakakas anu didesain pikeun méré takolan, contona dina mékanisme pikeun ngaluncurkeun pélor dina bedil.",Palu adalah peralatan dasar untuk banyak profesi.
<P>,"Sebagai analogi, palu juga digunakan sebagai perangkat yang didesain untuk memberikan tumbukan, contoh dalam mekanisme pelontar peluru pada pistol."
<P>,Lenong
Johann Sebastian Bach,Johann Sebastian Bach
Tarompét,Tarompét
Slovakia,Slowakia
Républik Slovakia mangrupakeun hiji nagara peupeusan Cékoslovakia di Éropa Tengah.,Republik Slowakia adalah sebuah negara sempalan Cekoslowakia di Eropa Tengah.
"Nagara nu teu miboga laut ieu tepung wates sareng Polandia di beulah kalér, Céko di kalér-kulon, Ukraina di wétan, Hungaria di kidul, jeung Austria di kidul-kulon.","Negara yang terkurung daratan ini berbatasan dengan Polandia di sebelah utara, Ceko di barat laut, Ukraina di timur, Hongaria di selatan, dan Austria di barat daya."
"Ti 1 Januari 2009, Slovakia mimiti ngagunakeun mata uang Euro.",Mulai tanggal 1 Januari 2009 Slowakia mulai menggunakan mata uang Euro.
Babagian administratif.,Pembagian administratif.
"Slovakia dibagi kana 8 daérah (""kraj""), masing-masing dingaranan dumasar kana kota utamana: Masing-masing ""kraj"" dibagi deui kana sababaraha distrik (""okres"").","Slowakia dibagi kepada 8 daerah (""kraj""), masing-masing dinamakan menurut kota utamanya: Setiap ""kraj"" dibagi lagi menjadi beberapa distrik (""okres"")."
Slovakia ayeuna miboga 79 distrik.,Slowakia saat ini memiliki 79 distrik.
Bunraku,Bunraku
Cesc Fabregas,Cesc Fàbregas
Tambaga,Tembaga
Leumpang,Jalan kaki
Galileo Galilei,Galileo Galilei
Pasar Modal,Pasar modal
Aom Kusman,Aom Kusman
Lemak,Lemak
Spéktroskopi,Spektroskopi
Kuantitas fisik nu diukur.,Kuantitas fisik yang diukur.
Tipe spéktroskopi gumantung kana kuantitas fisik nu rék diukur.,Jenis spektroskopi tergantung dari kuantitas fisik yang diukur.
Tiamin,Tiamina
Ossétia Kidul,Ossetia Selatan
"Républik Ossétia Kidul (basa Ossétia: Республикæ Хуссар Ирыстон, ""Respublikae Xussar Iryston""; basa Rusia: Республика Южная Осетия, ""Respublika Yuzhnaya Osetiya""; basa Georgia: სამხრეთი ოსეთია, ""Samkhreti Osetia"") mangrupakeun hiji nagara républik nu sacara ""de facto"" merdéka, aya di Kaukasus.","Republik Ossetia Selatan (bahasa Ossetia: Республикæ Хуссар Ирыстон, ""Respublikae Xussar Iryston""; bahasa Rusia: Республика Южная Осетия, ""Respublika Yuzhnaya Osetiya""; bahasa Georgia: სამხრეთი ოსეთია, ""Samkhreti Osetia"") adalah sebuah negara republik yang secara ""de facto"" merdeka, terletak di Kaukasus."
Géorgia ngklaim Ossétia Kidul salaku wewengkon kadaulatanna.,Georgia mengklaim Ossetia Selatan sebagai wilayah kedaulatannya.
"Kadaulatan républik ieu teu diakuan sacara internasional, iwal Rusia nu ngakuanna dina 26 Agustus 2008 bareng jeung pangakuan kadaulatan Abkhazia.","Kedaulatan republik ini tidak diakui secara internasional, kecuali Rusia yang mengakuinya pada 26 Agustus 2008 bersamaan dengan pengakuan kedaulatan Abkhazia."
"Géorgia heunteu ngakuan status Ossétia Kidul minangka hiji éntitas sorangan; pamaréntah Géorgia ngangaranan républik ieu kalawan ngaran kolotna: Samachablo, atawa kiwari, wewengkon Tskhinvali (dumasar kana ibu kota républik ieu).","Georgia tidak mengakui status Ossetia Selatan sebagai suatu entitas tersendiri; pemerintah Georgia menamakan republik ini dengan nama lamanya: Samachablo, atau kini, wilayah Tskhinvali (berdasarkan ibu kota republik ini)."
"Ossétia Kidul baheulana mangrupakeun bagian ti wewengkon Géorgia nu ngaranna Shida Kartli. Dina Agustus 2008, aya peperangan antara pasukan Rusia jeung Géorgia.","Ossetia Selatan dahulunya merupakan bagian dari wilayah Georgia yang bernama Shida Kartli. Pada Agustus 2008, terjadi pertempuran antara pasukan Rusia dan Georgia (""lihat artikel Perang Ossetia Selatan (2008)"")."
Payung,Payung
Wayang Golék,Wayang golek
"Wayang Golék téh hiji seni pintonan wayang nu mangrupa bonéka tina kai nu dipaénkeun ku dalang, nu kawentar tur populér pisan di Tatar Sunda.","Wayang Golek adalah suatu seni pertunjukan wayang yang terbuat dari boneka kayu, yang terutama sangat populer di wilayah Tanah Pasundan. Wayang."
"Sakumaha alur carita pawayangan umumna, dina pintonan wayang golék ogé biasana boga lalakon-lalakon anu boh galur atawa caranganana dicokot tina carita Ramayana jeung Mahabarata kalawan migunakeun basa Sunda nu diiring ku gamelan Sunda (saléndro), nu diwangun ku dua saron, peking, selentem, bonang, bonang rincik, kenong, sapasang goong (kempul jeung goong), ditambah kendang (hiji kendang Indung jeung tilu kulanter), gambang jeung rebab.","Alur cerita dapat diambil dari cerita rakyat seperti penyebaran agama Islam oleh Walangsungsang dan Rara Santang maupun dari epik yang bersumber dari cerita Ramayana dan Mahabarata dengan menggunakan bahasa Sunda dengan iringan gamelan Sunda (salendro), yang terdiri atas dua buah saron, sebuah peking, sebuah selentem, satu perangkat boning, satu perangkat boning rincik, satu perangkat kenong, sepasang gong (kempul dan goong), ditambah dengan seperangkat kendang (sebuah kendang Indung dan tiga buah kulanter), gambang dan rebab."
"Dalang wayang golék nu kawentar di antarana Tarkim, R.U. Partasuanda, Abéng Sunarya, Entah Tirayana, Apek, Asép Sunandar Sunarya, R.H. Cécép Supriadi, Dédé Amung Sutarya, Manan Dédé Sutarya, Apép Hudaya, jld.","Beberapa dalang wayang golek yang terkenal diantaranya Tarkim, R.U. Partasuanda, Abeng Sunarya, Entah Tirayana, Apek, Asep Sunandar Sunarya, Cecep Supriadi, ki dalang IIN wahyu iskandar dll."
Rungkun basa Indo-Arya,Rumpun bahasa Indo-Arya
"Rungkun Basa Indo-Arya (dina kontéks Panalungtikan Indo-Éropa ogé Indik) ngawengku hiji bagian ti rungkun basa Indo-Iran, nu mana mangrupa bagian ti rungkun basa Indo-Éropa.",Rumpun bahasa Indo-Arya (dalam konteks pembelajaran Indo-Eropa juga disebut Indik) adalah cabang bahasa Indo-Iran.
Hindia-Walanda,Hindia Belanda
"Hindia-Walanda (Basa Walanda: ""Nederlands-Indië"") nyaeta hiji wilayah jajahan Walanda nu diakui ku hukum ""de jure"" jeung sacara kanyataanna""de facto"".","Hindia Belanda () adalah sebuah wilayah koloni Belanda yang diakui secara hukum ""de jure"" dan ""de facto""."
"Pamingpin nagara Hindia-Walanda nyaeta Ratu/Raja Walanda, nu pancen gawena dicekel sapinuhna ku saurang Gubernur-Jendral.",Kepala negara Hindia Belanda adalah Ratu/Raja Belanda dengan perwakilannya yang berkuasa penuh seorang Gubernur-Jendral.
Buryatia,Buryatia
Buryatia mangrupakeun ngaran Subjék Féderal Rusia.,Buryatia (; ) merupakan sebuah nama Subyek Federal Rusia.
Subjék ieu miboga luas wewengkon 351.300 km².,Subyek ini memiliki luas wilayah 351.300 km².
Populasi di Républik ieu nya éta 981.238 jiwa (2002).,Penduduk di Republik ini 981.238 jiwa (2002).
"Kalawan kapadetan 2,8 jiwa/km².","Dengan kepadatan penduduk 2,8 jiwa/km²."
Ibu kotana nya éta Ulan-Ude.,Ibu kotanya ialah Ulan-Ude.
Sajarah.,Sejarah.
"Buryatia dijajah kahiji kalina dina 1600 pikeun kamakmuran, emas, jeung tambang lian.","Buryatia dijajah untuk pertama kalinya pada 1600 demi kemakmuran, emas, dan tambang lain."
"Dina 1923, Buryat-Mongol ASSR diwangun minangka hasil panggabungan Buryat-Mongol jeung Mongol-Buryat Oblasts.","Pada 1923, Republik Sosialis Soviet Otonom Buryat-Mongolia (RSSO Buryat-Mongolia) dibentuk sebagai hasil penggabungan Oblast Buryat-Mongol dan Mongol-Buryat."
"Dina 1937, Aga Buryatia jeung Ust-Orda Buryatia dipeupeus ti Buryat-Mongolian ASSR jeung digabung sareng Chita jeung Irkutsk Oblasts, tumurut.","Pada 1937, Aga Buryatia dan Ust-Orda Buryatia dipecah dari RSSO Buryat-Mongolia dan digabung berturut-turut dengan Oblast Chita dan Irkutsk."
"Saliaan ti éta, Distrik Olkhonsky ditransfer ti Buryat-Mongolina ASSR ka Irkutsk Oblast.","Selain itu, Distrik Olkhonsky ditransfer dari RSSO Buryat-Mongolia ke Oblast Irkutsk."
Kumis ucing,Kumis kucing
"Ieu tutuwuhan téh tumuwuh ajeg, watangna pasagi, dina buku-bukuna aya akaran tapi teu siga akar nu dijero taneuh, tangkal kumis ucing téh jangkungna biasana nepi ka 2m.",Tanaman ini merupakan salah satu tanaman obat asli Indonesia yang mempunyai manfaat dan kegunaan yang cukup banyak dalam menanggulangi berbagai penyakit.
"Benang sari ukuranana leuwih panjang batan tabung kembang sarta ngaleuwihan biwir kembang bagian luhur. Kumis ucing rasana rada pait, asin, kesed, tur rada tiis.",Benang sari ukurannya lebih panjang dari tabung bunga dan melebihi bibir bunga bagian atas.
Mangandeuh,Benalu
"Mangandeuh (""Loranthus"") nya éta ngaran tutuwuhan anu miboga sifat parasit alias dina hirupna teu merlukeun taneuh sabagé média tumuwuhna.","Benalu (""Loranthus"", suku Loranthaceae) adalah sekelompok tumbuhan parasit obligat yang hidup dan tumbuh pada batang (dahan) pohon tumbuhan lain."
Simple Plan,Simple Plan
Iket,Iket
Phil Collins,Phil Collins
"Philip David Charles Collins atawa anu leuwih kasohor Phil Collins nya éta musisi pop/ rock, penulis lagu, aktor asal Inggris anu lahir tanggal 20 Januari 1951 di London, Inggris.","Philip David Charles Collins (), lebih sering disebut Phil Collins, adalah seorang musisi pop/rock asal Inggris."
Protozoa,Protozoa
"Chūbu (中部地方 ""Chūbu-chihō"") nyaeta wewengkon di tengah pulo Honshū, pulo utama di Jepang.","Wilayah Chubu (中部地方 ""Chūbu-chihō"") adalah wilayah geografis di Honshu, pulau terbesar di Jepang."
"Chubu, atawa tengah, wewengkon nu kabagi ku salapan prefektur di bagean tengah pulo utama Jepang, kuloneun wewengkon Kanto: Aichi, Fukui, Gifu, Ishikawa, Nagano, Niigata, Shizuoka, Toyama, jeung Yamanashi.","Region ini terdiri dari 9 prefektur yaitu Prefektur Aichi, Prefektur Fukui, Prefektur Gifu, Prefektur Ishikawa, Prefektur Nagano, Prefektur Niigata, Prefektur Shizuoka, Prefektur Toyama, dan Prefektur Yamanashi."
Ménopause,Menopause
"Ménopauseu numutkun basa hartina eureunna fisiologi daur kareseban, tina akar basa Yunani 'meno-' (bulanan) jeung 'pausis' (eureun).",Menopause adalah berhentinya secara fisiologis siklus menstruasi yang berkaitan dengan tingkat lanjut usia perempuan.
U2,U2
<P>,"U2 adalah kelompok musik populer asal Irlandia yang beranggotakan Bono (Paul David Hewson, vokal dan gitar), The Edge (David Howell Evans, gitar, piano, vokal dan bas), Adam Clayton (bas dan gitar) dan Larry Mullen, Jr (drum)."
"U2 nya éta grup musik asal Irlandia anu dibentuk taun 1976 ku Paul David Hewson (Bono) (vokal jeung gitar), David Howell Evans (The Edge) (gitar, piano jeung bass), Adam Clayton (bass jeung gitar), sarta Larry Mullen Jr (drum).",Group musik ini terbentuk pada Tahun 1976. Sejarah.
Témbok Gedé Cina,Tembok Besar Tiongkok
"Catetan. ¹ 10,000 ""li"" = 5,760 km (3,580 miles).","Catatan. ¹ 10.000 ""li"" = 5.760 km."
Nining Méida,Nining Meida
Nining Meida nyaéta penyanyi pop-sunda Indonésia warsih 1980-an.,Nining Meida adalah penyanyi pop-Sunda Indonesia tahun 1980-an.
"Nining Meida réa menyanyikan lagu-lagu nu diciptakeun ku Nano S, kawas lagu ""Potret Manehna"", ""Kalangkang"", ""Anjeun"", ""Tibelat"", sarta ""Rangrang Panyawangan"".","Nining Meida banyak menyanyikan lagu-lagu ciptaan Nano S, seperti lagu Potret Manehna, Kalangkang, Anjeun, Tibelat, dan Rangrang Panyawangan."
"Sajaba nyanyi, Nining ogé muka usaha ngajualan parsel ku cara nawarkeun ka relasina.","Selain menyanyi, Nining juga membuka usaha berjualan parsel dengan cara menawarkan pada relasinya."
UTC,Waktu Universal Terkoordinasi
"UTC atawa Wanci Univérsal Terkoordinasi (Coordinated Universal Time), sering disebut ogé minangka Wanci Zulu nyaéta réalisasi tina waktu atom ti Universal Time (UT) atawa ""Greenwich Mean Time"" (GMT).","Waktu Universal Terkoordinasi (bahasa Inggris: ""Coordinated Universal Time"", bahasa Perancis: ""Temps Universel Coordonné"", singkatan resmi: UTC), sering disebut sebagai Waktu Zulu adalah perwujudan dari waktu atom dari Waktu Universal (UT) atau Waktu Greenwich (GMT)."
Waktu ieu dumasar kana wanci sipil (civil time).,Waktu ini adalah dasar dari waktu sipil.
Zona wanci (Time Zone) di sakuliah dunya ditunjukkeun minangka tambahan positif atawa negatif dibndingkeun jeung UT.,Zona waktu di seluruh dunia adalah ditampilkan sebagai tambahan positif atau negatif dari UT.
"Bedana antara UTC jeung Wanci Atom Internasional (TAI) nyaéta sababaraha detik jangkep (lain pecahan), nu cocog jeung wanci nu diitung ku jam atom.","Beda UTC dari Waktu Atom Internasional adalah sejumlah beberapa detik genap (bukan pecahan), sesuai dengan waktu yang dihitung oleh jam atom."
Bedana antara UTC jeung UT nyaeta sapersakitu (sepersekian) detik.,Beda UTC dari UT hanya sepersekian detik.
"UTC nyaéta ukuran waktu campuran: kecepatan ti UTC nyaéta dumasar kanu diitung ku standar jam atom, tapi epoch ti UTC dicocogkeun sangkan deukeut jeung waktu UT anu dumasar kana data astronomi.","UTC adalah ukuran waktu campuran: kecepatan dari UTC adalah berdasarkan yang dihitung oleh standar jam atom, tapi epoch dari UTC dicocokkan selalu supaya dekat dengan waktu UT yang berdasarkan data astronomi."
"Puteran bumi saeutik demi saeutik ngalaman perlambatan (alatan éfék ngeremna ku pasang-surut), ku kituna mean poé panonpoé beuki nambahan saprak diwanohkeunana TAI.","Putaran bumi sedikit demi sedikit mengalami perlambatan (karena efek pengereman oleh pasang-surut), sehingga mean hari matahari semakin bertambah semenjak diperkenalkannya TAI."
"Alatan alesan ieu, UT ""leuwih laun"" ti TAI.","Karena alasan ini, UT adalah ""lebih lambat"" dari TAI."
UTC sok dipertahankeun sangkan aya dina 0.9 detik ti UT1 (UT1 nyaéta hiji ti tilu definisi UT anu pangakuratna); detik kabisat baris ditambahkeun ka (atawa meureun bisa ogé dikurangkeun ti) UTC di unggal ahir bulan.,UTC selalu dipertahankan untuk berada dalam 0.9 detik dari UT1 (UT1 adalah satu dari tiga definisi UT yang paling akurat); detik kabisat akan ditambahkan ke (atau mungkin bisa juga dikurangkan dari) UTC disetiap akhir bulan.
"Nepi ka ayeuna, panambahan/pangurangan detik kabisat ieu (anu munggaran taun 1972) sok dina harga positif, sarta dipigawé dina tanggal 30 Juni atawa 31 Désémber, di mana penambahan detik kabisat dingaranan minangka jam 23:59:60.","Hingga saat ini, penambahan/pengurangan detik kabisat ini (yang pertama tahun 1972) selalu dalam harga positif, dan dilakukan pada tanggal 30 Juni atau 31 Desember, di mana penambahan detik kabisat dinamakan sebagai jam 23:59:60."
"Sacara sajarah, hiji detik kabisat sok diperlukeun saban hiji atawa dua taun sakali.","Secara sejarah, satu detik kabisat selalu diperlukan setiap satu atau dua tahun sekali."
"Tapi sok sanajan kitu, detik kabisat geus lila henteu ditambahkeun saprak warsih 1998, alatan perlambatan bumi geus ngurangan sacara samentara dina 7 warsih pamungkas ieu.","Namun demikian, detik kabisat sudah lama tidak ditambahkan semenjak tahun 1998, karena perlambatan bumi telah berkurang secara sementara dalam 7 tahun terakhir ini."
"Detik kabisat anu tuluy, kawas kungsi disalabarkeun IERS dina bulan Juli 2005, lumangsung dina tanggal 31 Désémber 2005.","Detik kabisat yang lalu, seperti pernah diumumkan IERS pada bulan Juli 2005, terjadi pada tanggal 31 Desember 2005."
"Pikeun kaperluan praktis, sarta pikeun kaperluan perdagangan sarta hukum, béda leutik (dina pecahan detik) antara UTC sarta UT (atawa GMT) nyaéta dianggap leutik, sarta alatan alesan ieu, dina percakapan umum UTC mindeng disebutkeun minangka GMT, sanajan sabenerna sacara téknis mah ieu téh henteu pas.","Untuk keperluan praktis, dan untuk keperluan perdagangan dan hukum, perbedaan kecil (dalam pecahan detik) antara UTC dan UT (atau GMT) adalah dianggap kecil, dan karena alasan ini, dalam percakapan biasa UTC sering disebutkan sebagai GMT, walaupun sebenarnya secara teknis ini adalah tidak tepat."
Sokotra,Sokotra
"Sokotra ( """"), atawa ""Soqotra"", nyaéta hiji kapuloan nu ngawengkun 4 pulo di Samudra Hindia.",Suquthra atau Sokotra () adalah kepulauan kecil yang terletak di Samudera Hindia.
Peuteuy,Petai
"Peuteuy, (""Parkia speciosa"") mangrupakeun tutuwuhan ti kulawarga peuteuy-peuteuyan (Fabaceae), sub kulkawarga peuteuy-peuteuyan (Mimosoidae).","Petai, pete (IPA:pətɛ), atau mlanding (""Parkia speciosa"") merupakan pohon tahunan tropika dari suku polong-polongan (Fabaceae), anak-suku petai-petaian (Mimosoidae)."
Tutuwuhan ieu sumebar lega di Indonésia bagian kulon.,Tumbuhan ini tersebar luas di Nusantara bagian barat.
"Sikina, anu disebut ""peuteuy"" ogé, didahar sabot masih ngora, boh atah boh dikulub.","Bijinya, yang disebut ""petai"" juga, dikonsumsi ketika masih muda, baik segar maupun direbus."
Tangkal peuteuy luhurna bisa ngahontal 20m sarta saeutik dahanna.,"Pohon petai menahun, tinggi dapat mencapai 20m dan kurang bercabang."
"Daunna ""majemuk"", kasusun sajajar.","Daunnya majemuk, tersusun sejajar."
"Kembang majemuk, kasusun ku bongkol (has Mimosoidae).","Bunga majemuk, tersusun dalam bongkol (khas Mimosoidae)."
Kembang mecenghul biasana deukeut tungtung régang.,Bunga muncul biasanya di dekat ujung ranting.
"Buahna badag, manjang, wanda buah peuteuy.","Buahnya besar, memanjang, betipe buah polong."
Ti hiji bongkol bisa kapanggih nepi ka welasan buah.,Dari satu bongkol dapat ditemukan sampai belasan buah.
"Dina hiji buah aya nepi ka 20 siki, anu boga warna héjo sabot ngora sarta kabuntel ""selaput"" rada kandel boga warna coklat hérang.","Dalam satu buah terdapat hingga 20 biji, yang berwarna hijau ketika muda dan terbalut oleh selaput agak tebal berwarna coklat terang."
Buah peuteuy baris jadi garing sarta ngaleupaskeun siki-sikina lamun asak.,Buah petai akan mengering jika masak dan melepaskan biji-bijinya.
Sambell goréng ati henteu pepek tanpa peuteuy.,Sambal goreng hati tidak lengkap tanpa petai.
Prosa,Prosa
Pamilihan umum présidén Italia 2013,Pemilihan presiden Italia 2013
