javanese,indonesian
"Sanajan dipunwasatni pesulap, ananging Deddy langkung remen dipunwastani mentalist.","Meskipun dikenal sebagai pesulap, ia sendiri lebih suka disebut sebagai ""mentalist""."
Deddy Corbuzier nikah kaliyan Kalina Oktarani utawi ingkang langkung misuwur kanthi nama Kalina.,"Deddy mengakhiri masa lajangnya dengan Kalina Oktarani atau lebih akrab disapa Kalina pada 25 Februari 2005, dan telah dikarunia seorang anak yang dinamai dengan Azkanio Nikola Corbuzier."
Deddy saha Kalina nikah nalika tanggal 25 Februari 2005.,"Deddy mengakhiri masa lajangnya dengan Kalina Oktarani atau lebih akrab disapa Kalina pada 25 Februari 2005, dan telah dikarunia seorang anak yang dinamai dengan Azkanio Nikola Corbuzier."
"Saking pernikahan menika, Deddy saha Kalina gadhah putra setunggal ingkang namanipun Azkanio Nikola Corbuzier.","Deddy mengakhiri masa lajangnya dengan Kalina Oktarani atau lebih akrab disapa Kalina pada 25 Februari 2005, dan telah dikarunia seorang anak yang dinamai dengan Azkanio Nikola Corbuzier."
India Indonesia,India-Indonesia
Wonten saperangan kelompok suku India Indonesia ingkang sampun dangu dumunung ing Indonesia.,Ada beberapa kelompok suku India-Indonesia yang telah lama menetap di Indonesia.
"Kelompok suku masyarakat Tamil saking India Selatan kathah dipunpanggihaken ing daerah Sumatera Utara Medan, Pematang Siantar, lsp.","Kelompok suku masyarakat Tamil dari India Selatan banyak terdapat di daerah Sumatera Utara (Medan, Pematang Siantar, dll)."
Kathah saking kelompok punika ingkang dipunrawuhaken dening pamarntah kolonial Inggris saperlu makarya ing perkebunan perkebunan ingkang dipunbikak ing daerah kasebut.,Banyak dari mereka yang didatangkan oleh pemerintah kolonial Inggris untuk bekerja di perkebunan-perkebunan yang dibuka di daerah tersebut.
"Marimutu Sinivasan salah satunggaling pengusaha India Indonesia ingkang asalipun saking suku Tamil, ingkang mijil ing Sumatera Utara.","Marimutu Sinivasan adalah seorang pengusaha India-Indonesia yang berasal dari suku Tamil, yang dilahirkan di Sumatera Utara."
"Kelompok suku masyarakat Punjabi saking India Utara kathah dumunung ing kota kota ageng ing Jawa, kados Jakarta, Bandung, Yogyakarta, Surabaya, lsp.","Kelompok suku masyarakat Punjabi dari India Utara banyak terdapat di kota-kota besar di Jawa, seperti Jakarta, Bandung, Yogyakarta, Surabaya, dll. dan pada umumnya mereka hidup sebagai pedagang."
Lan umumipun gesang dados pedagang.,"Kelompok suku masyarakat Punjabi dari India Utara banyak terdapat di kota-kota besar di Jawa, seperti Jakarta, Bandung, Yogyakarta, Surabaya, dll. dan pada umumnya mereka hidup sebagai pedagang."
Kathah ingkang gamanipun Sikh.,Banyak dari mereka yang beragama Sikh.
"Saperangan tokoh ingkang misuwur saking masyarakat punika kadosta Raam Punjabi, raja sinetron Indonesia lan garwanipun, Rakhee Punjabi, H.S. Dillon, pakar ekonomi pertanian.","Beberapa tokoh terkemuka dari masyarakat ini misalnya adalah Raam Punjabi, raja sinetron Indonesia dan istrinya, Rakhee Punjabi, H.S. Dillon, pakar ekonomi pertanian.Kehidupan masyarakat Indonesia keturunan India dikemas dengan begitu unik dalam serial televisi ""Raj's Family"" di salah satu stasiun televisi swasta."
Pageasngan masyarakat Indonesia keturunan India dipunkemas kanthi unik ing salebeting serial televisi Rajs Family ing salah sawijining stasiun televisi swasta.,"Beberapa tokoh terkemuka dari masyarakat ini misalnya adalah Raam Punjabi, raja sinetron Indonesia dan istrinya, Rakhee Punjabi, H.S. Dillon, pakar ekonomi pertanian.Kehidupan masyarakat Indonesia keturunan India dikemas dengan begitu unik dalam serial televisi ""Raj's Family"" di salah satu stasiun televisi swasta."
"Sawijining tokoh Punjabi Indonesia ingkang asring dipunlalekaken inggih punikaGurnam Singh, pelari maraton taun 1960 an ingkang dados pelari paling cepet Asia ing Asian Games 1962 ing Jakarta.","Seorang tokoh Punjabi-Indonesia yang sering terlupakan adalah Gurnam Singh, pelari maraton pada era 1960-an yang menjadi pelari tercepat Asia pada Asian Games 1962 di Jakarta."
Gurnam Singh asalipun ugi saking Sumatera Utara.,"Gurnam Singh juga berasal dari Sumatera Utara. Selain itu, di Indonesia ada pula kelompok suku masyarakat Sindhi yang juga banyak berperan dalam dunia perdagangan di Indonesia."
"Kejawi punikia, ing Indonesia ugi wonten kelompok suku masyarakat Sindhi ingkang ugi kathah peranipun ing dunya perdagangan ing Indonesia.","Gurnam Singh juga berasal dari Sumatera Utara. Selain itu, di Indonesia ada pula kelompok suku masyarakat Sindhi yang juga banyak berperan dalam dunia perdagangan di Indonesia."
"Umunipun ebah ing bidang industri garmen lan tekstil, tetedhan lan tetanen, perfilman, intan permata lan batu batu mulia.","Mereka umumnya bergerak di bidang industri garmen dan tekstil, makanan dan pertanian, perfilman, intan permata dan batu-batu mulia."
"Masyarakat Sindhi ing Indonesia gadhah organisasi sosial ingkang dipunsebut Gandhi Seva Loka ingkang kathah nyukani bantuan dhumateng komunitasipun piyambak, sarta ngawontenaken program tiyang sepuh asuh kanthi teratur.","Masyarakat Sindhi di Indonesia mempunyai organisasi sosial yang bernama Gandhi Seva Loka yang banyak memberikan bantuan kepada komunitas mereka sendiri, serta menyelenggarakan proram orang tua asuh secara teratur."
"Organisasi punika ugi nulung kaum fakir miskin ing kalangan masyarakat ingkang langkung umum, mliginipun nalika ekonomi negara dipunlandha krisis ingkang dangu.","Organisasi ini juga menolong kaum fakir-miskin di kalangan masyarakat yang lebih luas, khususnya ketika ekonomi negara dilanda krisis yang berkepanjangan. Di dalam aktivitas sosialnya, masyarakat India-Indonesia mendirikan sekolah Gandhi International School di Jakarta."
Sajarah.,Sejarah.
Maneka kelompok masyarakat saking anak benua India sampun rawuh ing kepulauan Indonesia wiwit jaman pra sejarah.,Berbagai kelompok masyarakat dari anak benua India telah datang ke kepulauan Indonesia sejak masa pra-sejarah.
"Ing Bali, tuladhanipun, maneka sisa keramik wiwit abad kapisan Masehi sampun kapanggihaken.","Di Bali, misalnya, berbagai sisa keramik sejak abad pertama Masehi telah ditemukan."
Malah nama Indonesia piyambak asalipun saking basa latin Indus India lan basa Yunani nêsos pulo ingkang kanthi harfiah ateges Kepuloan India.,"Malah nama Indonesia sendiri berasal dari bahasa Latin ""Indus"" ""India"" dan bahasa Yunani ""nêsos"" ""pulau"" yang secara harafiah berarti 'Kepulauan India'. Sejak abad ke-4 dan ke-5, pengaruh budaya India menjadi semakin jelas."
"Wiwit abad ke 4 lan ke 5, pangaruh budaya India dados langkung jelas.","Malah nama Indonesia sendiri berasal dari bahasa Latin ""Indus"" ""India"" dan bahasa Yunani ""nêsos"" ""pulau"" yang secara harafiah berarti 'Kepulauan India'. Sejak abad ke-4 dan ke-5, pengaruh budaya India menjadi semakin jelas."
Basa Sanskerta dipunginakaken ing maneka prasasti.,Bahasa Sanskerta digunakan dalam berbagai prasasti.
"Ananging wiwit abad ke 7, huruf India samsaya jarang dipunginakaken kangge nyerat basa basa setempat ingkang sakmenika sampung ngandhut kathah silihan boten namung saking basa Sanskerta, ananging ugi saking basa Prakerta lan bahasa bahasa Dravida.","Namun sejak abad ke-7, huruf India semakin sering dipergunakan untuk menulis bahasa-bahasa setempat yang kini sudah mengandung banyak kata pinjaman bukan saja dari bahasa Sanskerta, tetapi juga dari berbagai bahasa Prakerta dan bahasa-bahasa Dravida."
"Kejawi punika, masyarakat pribumi Indonesia ugi wiwit mlebet agama agama India, mliginipun Siwaisme lan Buddhisme.","Selain itu, masyarakat pribumi Indonesia pun mulai memeluk agama-agama India, khususnya Siwaisme dan Buddhisme."
Ananging wonten ugi ingkang mlebet Wisnuisme lan Tantrisme.,Namun ada pula pemeluk Wisnuisme dan Tantrisme.
"Dipunpitadosi ugi bilih maneka penduduk India ugi netep ing Indonesia, campur gaul lan asimiliasi kaliyan penduduk setempat, amargi nalika abad ke 9 wonten ing sawijining prasasti saking Jawa Tengah dipunsebutaken nama nama maneka penduduk India lan Asia Tenggara: Pungkasan, kanthi bangkitipun Islam, agama Islam dipunbekta ing Indonesia dening tiyang tiyang Gujarat wiwit abad ke 11, boten kangge nggantosaken sistem sistem keagamaan ingkang sampun wonten, ananging kangge jangkepi.","Diyakini pula bahwa berbagai penduduk India juga menetap di Indonesia, bercampur gaul dan berasimiliasi dengan penduduk setempat, karena pada abad ke-9 dalam sebuah prasasti dari Jawa Tengah disebutkan nama-nama berbagai penduduk India (dan Asia Tenggara): Belakangan, dengan bangkitnya Islam, agama Islam pun dibawa ke Indonesia oleh orang-orang Gujarat sejak abad ke-11, bukan untuk menggantikan sistem-sistem keagamaan yang sudah ada, melainkan untuk melengkapinya."
Warisan India ing Indonesia.,Warisan India di Indonesia.
"Warisan agama Hindu ingkang taksih wonten ing saperangan papan ing Sumatera, Jawa, Bali, lan Kalimantan, minangka butinipun.","Warisan agama Hindu yang masih tersisa di beberapa tempat di Sumatera, Jawa, Bali, dan Kalimantan, adalah bukti-buktinya."
Kisah epos Mahabharata lan kisah klasik Ramayana sampun dados bageyan saking pagesangan saben dinten kathah tiyang Indonesia.,Kisah epos Mahabharata dan kisah klasik Ramayana telah menjadi bagian dari kehidupan sehari-hari banyak orang Indonesia.
"Kathah nama tiyang Indonesia ingkang migunakaken nama nama India utawi Hindu, ewadene boten ateges bilih piyambakipun gadhah agama Hindu.","Banyak nama orang Indonesia yang menggunakan nama-nama India atau Hindu, meskipun tidak berarti bahwa mereka beragama Hindu."
"Nama nama kados Yudhistira Adi Nugraha, Bimo Nugroho, Susilo Bambang Yudhoyono, sedayanipun nggambaraken pangaruh India ingkang kiat sanget ing Indonesia.","Nama-nama seperti ""Yudhistira Adi Nugraha"", ""Bimo Nugroho"", ""Susilo Bambang Yudhoyono"", semuanya mencerminkan pengaruh India yang sangat kuat di Indonesia."
"Kejawi punika ing saperangan papan, katingal sisa sisa keturunan masyarakat India ingkang sampun nyampur kaliyan masyarakat Indonesia.","Selain itu di beberapa tempat, tampak sisa-sisa keturunan masyarakat India yang telah berbaur dengan masyarakat Indonesia."
"Nama nama kulawraga merga ing kalangan masyarakat Batak Karo, kados Brahmana lan Gurusinga ingkang katingalipun saking nama nama India, nedahaken warisan kasebut.","Nama-nama keluarga (merga) di kalangan masyarakat Batak Karo, seperti Brahmana dan Gurusinga yang tampaknya berasal dari nama-nama India, menunjukkan warisan tersebut."
Pangaruh India ing Masakan Indonesia.,Pengaruh India di Masakan Indonesia.
"Pangaruh India tumrap masakan nuswantara, saged dipunmangertosi saking hubungan antawis Kesultanan Mughal ing India kaliyan Aceh, antawis abad 15 dumugi abad 16.","Pengaruh India terhadap masakan Nusantara, dapat ditelusuri lewat hubungan antara Kesultanan Mughal di India dengan Aceh, sekitar abad 15 hingga abad 16."
Maneka pangaruh Mughal dipunduga saged dipunpanggihaken ing masakan ingkang pedhes lan kanthi santen.,Beberapa pengaruh Mughal diduga dapat ditemukan dalam masakan yang pedas dan bersantan.
Wonten kalih pamanggih ingkang beda babagan asal usul raos pedhes punika.,Terdapat dua pendapat berbeda soal asal usul rasa pedas ini.
"Kapisan, sumber pedhes dipunsebutaken asalipun saking lombok ingkang dipunbekta dening bangsa Portugis ing Mughal, saengga dumugi ing nuswantara.","Pertama, sumber pedas disebutkan berasal dari cabai yang dibawa oleh bangsa Portugis ke Mughal, hingga sampai ke Nusantara."
"Kalih, tiyang India sajatosipun sampun kenal lombok, saderengipun tiyang Portugis tumeka.","Kedua, orang India sebenarnya sudah mengenal cabai, jauh sebelum orang Portugis datang. Masakan Indonesia dengan pengaruh India, diduga terdapat dalam megana atau cacahan sayur nangka, yang masih bisa ditemui di daerah Pekalongan, Wonosobo, dan Temanggung."
"Masakan Indonesia kanthi pangaruh India, dipunduga wonten ing megana utawi cacahan sayur nangka, ingkang taksih saged dipunpanggihaken ing daerah Pekalongan, Wonosobo, lan Temanggung .","Kedua, orang India sebenarnya sudah mengenal cabai, jauh sebelum orang Portugis datang. Masakan Indonesia dengan pengaruh India, diduga terdapat dalam megana atau cacahan sayur nangka, yang masih bisa ditemui di daerah Pekalongan, Wonosobo, dan Temanggung."
"Masakan punika wonten ing wilayah wilayah ingkang minangka bekas daerah kerajaan Hindu awal ing Jawa, inggih punika Kalingga.","Masakan ini berada di wilayah-wilayah yang merupakan bekas daerah kerajaan Hindu awal di Jawa, yaitu Kalingga."
Dango,Dango
"Dango kang legi rasane digawe kanthi cara nambahake gula ing adonan, dene dango kang ora legi diclupake ing saos.","Dango yang rasanya manis dibuat dengan menambahkan gula ke dalam adonan, sedangkan dango yang tidak manis dicelupkan ke dalam saus."
"Dagno bisa uga dipangan karo bubuk kacang kedhele kinako, dilebokake ing jroning mitsumame ager ager kang dipangan karo maneka werna woh kaleng utawa sele kacang abang kang dijeri.","Dango juga bisa dimakan dengan taburan bubuk kacang kedelai (""kinako""), dimasukkan ke dalam mitsumame (agar-agar yang dimakan bersama aneka buah kaleng) atau selai kacang merah yang diencerkan dengan air."
"Saliyane saka glepung beras, dango uga bisa digawe saka glepung millet.","Selain dari tepung beras, dango juga bisa dibuat dari tepung terigu atau tepung millet."
Toyo Ito,Toyo Ito
"Nalika taun 2013, Ito kanugrahan Bebungah Pritzker, sawijining bebungah arsitektur sing paling pinunjul.","Pada tahun 2013, Ito dianugerahi Penghargaan Pritzker, salah satu penghargaan arsitektur yang paling bergengsi."
"Sadurunge, Ito wis dianggep minangka kandhidhat kuwat panggayuh Pritzker sakwene sepuluh taun pungkasan. Karya.","Sebelumnya, Ito telah dianggap sebagai kandidat kuat peraih Pritzker selama sepuluh tahun terakhir. Karya."
Sumber:,Sumber:
Prusia,Prusia
"Prusia basa Jerman: Preußen, basa Latin: Borussia, Prussia utawa Prutenia  basa Polandia Prusy  basa Rusia: Пруссия asale iku jeneng sawijining dhaerah ing Eropah Wetan ing sapinggire Laut Baltik ing endi sawijining bangsa Baltik sing isih duwe kerabat karo wong Lithuania lan wong Latvia tau manggon.","Prusia (bahasa Jerman: ""Preußen"", bahasa latin: ""Borussia"", ""Prussia"" atau ""Prutenia""; bahasa Polandia ""Prusy""; bahasa russia: ""Пруссия"") adalah kerajaan Jerman dan negara bersejarah berasal dari Duchy of Prussia dan Margraviate of Brandenburg."
Wong Sundha,Suku Sunda
Wong Sundha Basa Sundha Urang Sunda iku sawijining suku bangsa ing Pulo Jawa bageyan kulon.,"Suku Sunda adalah kelompok etnis yang berasal dari bagian barat pulau Jawa, Indonesia, dengan istilah ""Tatar Pasundan"" yang mencakup wilayah administrasi provinsi Jawa Barat, Banten, Jakarta, Lampung dan wilayah barat Jawa Tengah (Banyumasan)."
Sekolah Menengah Atas,Sekolah menengah atas
"Sekolah menengah atas dicekak SMA, iku jenjang pendidikan menengah jroning pendidikan formal ing Indonesia sawise lulus Sekolah Menengah Pertama utawa sadrajad.","Sekolah menengah atas (disingkat SMA; ), adalah jenjang pendidikan menengah pada pendidikan formal di Indonesia setelah lulus Sekolah Menengah Pertama (atau sederajat)."
"Sekolah menengah atas ditempuh jroning wektu 3 taun, wiwit kelas 10 nganti kelas 12.","Sekolah menengah atas ditempuh dalam waktu 3 tahun, mulai dari kelas 10 sampai kelas 12."
Pelajar SMA umume umur 15 18 taun.,Pelajar SMA umumnya berusia 16-18 tahun.
"SMA ora klebu program wajib belajar pamarentah   yakuwi SD utawa sadrajad 6 taun lan SMP utawa sadrajad 3 taun   senajan wiwit taun 2005 wis wiwit dicanangake program wajib belajar 12 taun sing ngatutake SMA ing sawetara dhaerah, contone ing Kutha Yogyakarta lan Kabupaten Bantul.","SMA tidak termasuk program wajib belajar pemerintah - yakni SD (atau sederajat) 6 tahun dan SMP (atau sederajat) 3 tahun - maskipun sejak tahun 2005 telah mulai diberlakukan program wajib belajar 12 tahun yang mengikut sertakan SMA di beberapa daerah, contohnya di Kota Yogyakarta dan Kabupaten Bantul."
SMA diselenggarakake dening pamarentah utawa swasta.,SMA diselenggarakan oleh pemerintah maupun swasta.
"Wiwit lumakune otonomi dhaerah ing taun 2001, pengelolaan SMA negeri ing Indonesia sing sadurune ana ing sangisore Departemen Pendidikan Nasional, saiki dadi tanggung jawab pamarentah dhaerah kabupaten kutha.","Sejak diberlakukannya otonomi daerah pada tahun 2001, pengelolaan SMA negeri di Indonesia yang sebelumnya berada di bawah Departemen Pendidikan Nasional, kini menjadi tanggung jawab pemerintah daerah kabupaten/kota."
Dene Departemen Pendidikan Nasional mung nduweni peran minangka regulator jroning bidang standar nasional pendidikan.,Sedangkan Departemen Pendidikan Nasional hanya berperan sebagai regulator dalam bidang standar nasional pendidikan.
"Sacara struktural, SMA negeri arupa unit pelaksana teknis dinas pendidikan kabupaten kutha.","Secara struktural, SMA negeri merupakan unit pelaksana teknis dinas pendidikan kabupaten/kota."
Qin Shi Huang,Qín Shǐ Huáng
"Qin Shi Huang Hanzi: 秦始皇 November utawi Desember 260 SM   10 September 210 SM, dipunwiyosaken kanthi asma Ying Zheng 贏政, ugi dipundangu Shi Huang Di ingkang tegesipun punika Kaisar Sepindhah, punika raja sakingNegara Qin wiwit 247 SM dumugi 221 SM, sasampunipun manunggalaken Tiongkok kanthi naklukaken 6 nagari sanesipun, panjenenganipun tumuli ngedegaken Dinasti Qin lan ngangkat dhiri dados kaisar saking Tiongkok ingkang manunggal   wiwit 221 SM dumugi 210 SM  minggah tahta kanthi sebutan Kaisar Sepindhah. Sasampunipun manunggalaken Tiongkok, piyambakipun lan perdhana mentrinipun Li Si ngedalaken maneka ewah  ewahan ingkang dipuntujokaken kangge ngiyataken kamanunggalan, lan kekalihipum damel kathah reformasi ing salebetipun pamarentahan, manunggalaken seratan baku, alat ukur standhar lan ugi nerasaken pambangunan Tembok Ageng ingkang sampun wonten wiwit Zaman Negara negara Perang.","Qin Shi Huang (Hanzi: 秦始皇) (November atau Desember 260 SM - 10 September 210 SM), dilahirkan dengan nama Ying Zheng (贏政), juga dipanggil Shi Huang Di yang artinya adalah Kaisar Pertama, adalah raja dari Negara Qin dari 247 SM sampai 221 SM, setelah mempersatukan Tiongkok dengan menaklukkan 6 negara lainnya, ia kemudian mendirikan Dinasti Qin dan mengangkat diri menjadi kaisar dari Tiongkok yang bersatu - dari 221 SM hingga 210 SM - bertakhta dengan sebutan Kaisar Pertama. Setelah menyatukan Tiongkok, dia dan perdana menterinya Li Si menciptakan berbagai perubahan yang ditujukan untuk memperkuat persatuan, dan mereka menjalankan banyak reformasi dalam pemerintahan, menyatukan tulisan baku, alat ukur standar dan juga meneruskan pembangunan Tembok Besar yang sudah ada sejak Zaman Negara-negara Berperang."
"Senadyan kanthi kakuwaosan tangan wesi, Qin Shi Huang tasih dipunanggep dening sajarah Tiongkok dumugi sapunika minangka pangadeg Tiongkok kala rumiyin.","Walaupun dengan kekuasaan tangan besi (seperti dilancarkannya pembakaran buku dan penguburan ahli), Qin Shi Huang masih dianggap oleh sejarah Tiongkok hingga sekarang sebagai pendiri Tiongkok masa lalu."
Pamanunggalan bangsa Tiongkok sampun dumados langkung saking kalih ewu taun.,Persatuan bangsa Tiongkok telah berlangsung lebih dari dua ribu tahun.
Tilar donya.,Kematian.
Kaisar Sepindhah tilar donya nalika nglampahi ekspedhisi dhumateng saindhenging nagari .,Kaisar Pertama wafat saat melakukan ekspedisi ke seluruh negeri.
Lelampahan puniki dipunleksanakaken supados merak ati rakyat lan para adipati sarta pangeran saking nagari   nagari ingkang dipuntaklukaken .,Perjalanan ini dilakukan untuk mengambil hati rakyat dan para adipati serta pangeran dari negara-negara yang ditaklukannya.
"Ing tengah lelampahan, piyambakipun pepanggihan malih kaliyan Xu Fu , satunggiling tiyang ingkang dipunprentahaken kangge madosi obat kalanggengan utawi dipunsebat ugi obat panjang umur .","Di tengah perjalanan ia bertemu kembali dengan Xu Fu, seorang yang diperintahkannya untuk mencari ""obat keabadian"" atau disebut juga ""obat panjang umur""."
"Kangge ngendhani dukanipun sang kaisar , Xu Fu nelakaken bilih lelampahan kangge pados obat kasebat awrat sanget, amargi obat kasebat wontenipun ing pucuk redi satunggiling pulo ing tengah samodra .","Untuk menghindari kemarahan sang kaisar, Xu Fu berkelit dengan mengatakan bahwa perjalanan untuk mencari obat tersebut sangat sulit, karena obat tersebut berada di puncak gunung sebuah pulau di tengah lautan."
"Xu Fu kagungan rencana ngendha saking tugas kaisar kasebat kanthi nelakaken bilih kaisar kedah nyipeng satunggiling mina raseksa rumiyin, nanging kanthi kendel kaisar kasil manah sawijining mina raseksa lan Xu Fu kedah nuruti tugas kaisar .","Xu Fu berencana menghindar dari tugas kaisar tersebut dengan mengatakan bahwa kaisar harus menangkap seekor ikan raksasa dahulu, namun dengan berani kaisar berhasil memanah seekor ikan raksasa dan Xu Fu harus menuruti tugas kaisar."
"ewasemanten Xu Fu ingkang sampun nginten bilih piyambakipun boten bakal saged nemokaken obat kalanggengan lan menawi piyambakipun kundur kanthi tangan kosong, mila kaisar mesthi bakal mejahi piyambakipun .","Bagaimanapun juga Xu Fu yang telah memprediksi bahwa ia tidak akan bisa menemukan obat keabadian dan jika ia pulang dengan tangan hampa, maka kaisar pasti akan membunuhnya."
"Panjenenganipun kanthi remen nampi tugas saking kaisar kasebat , kanthi syarat kaisar maringi rencang 500 mudha   mudhi ing salebeting lelampahanipun kangge pisungsung dhumateng dewa .","Ia dengan senang hati menerima tugas dari kaisar tersebut, dengan syarat kaisar menyertakan 500 pemuda - pemudi dalam perjalanannya untuk dipersembahkan kepada dewa."
Xu Fu mlampah nitih prau nanging boten nate kundur malih.,Namun Xu Fu berlayar untuk dan tidak pernah kembali.
Dipunkinten Xu Fu mandhap ing Jepang .,Diperkirakan Xu Fu mendarat di Jepang.
Kaisar tilar donya lan pengin putra pambajeng ingkang asmanipun Fusu ingkang nggantosaken piyambakipun.,Kaisar wafat dan menginginkan putera pertama bernama Fusu yang menggantikannya .
"Nanging pesen kaisar sepindhah kasebat boten nate kelampahan, amargi Zhao Gao , kasim kapitayan ugi pendugi pesen pungkasan kaisar sepindhah sekongkol kaliyan Li Si kangge ngewahi pesen kaisar sepindhah dados ngangkat putra angka 26 kaisar sepindhah , Huhai nggantosaken ramanipun lan ngaken Fusu sarta Jendral Meng Tian nglalu kanthi tedahan ngawontenaken pambrontakan .","Namun pesan kaisar pertama tersebut tidak pernah sampai, karena Zhao Gao, kasim kepercayan sekaligus penyampai pesan terakhir kaisar pertama bersekongkol dengan Li Si untuk mengubah pesan kaisar pertama menjadi mengangkat anak ke-26 kaisar pertama, Huhai menggantikan ayahnya dan menyuruh Fusu serta Jenderal Meng Tian bunuh diri dengan tuduhan melakukan pemberontakan."
"Zhao Gao nglampahi puniki amargi piyambakipun pengin njaga kalenggahanipun, amargi panjenenganipun bakal dipunlorot saking jabatanipun menawi konangan seneng menjilat lan korup dening Fusu , ewadene Lisi amargi panjenenganipun nate cecongkrahan kaliyan Fusu nalika nangani masalah cendhekiawan aliran Konfusius.","Zhao Gao melakukan hal ini karena ia ingin mempertahankan kedudukannya, karena ia kan dicopot dari jabatannya jika ketahuan suka menjilat dan korup oleh Fusu, sedangkan Lisi karena ia pernah berseteru dengan Fusu saat menangani masalah cendekiawan aliran Konfusius."
Wadhuk Selarama,Waduk Seloromo
Wadhuk Selarama utawa Seloromo iku sawijining wadhuk sing dumunung ing pereng sisih wetan gunung Muria.,Waduk Seloromo adalah sebuah waduk yang terletak di lereng sebelah timur gunung Muria.
"Sacara administratif, wadhuk iki dumunung ing kecamatan Gembong kabupaten Pathi provinsi Jawa Tengah, Indonesia.","Secara administratif, waduk ini terdapat di kecamatan Gembong kabupaten Pati provinsi Jawa Tengah, Indonesia.Waduk ini pertama kali dibuat oleh pemerintah kolonial Belanda pada sekitar tahun 1930."
Wadhuk iki digawe dening pamarentah kolonial Walanda watara taun 1930.,"Secara administratif, waduk ini terdapat di kecamatan Gembong kabupaten Pati provinsi Jawa Tengah, Indonesia.Waduk ini pertama kali dibuat oleh pemerintah kolonial Belanda pada sekitar tahun 1930."
Ing sisih kulon wadhuk iki uga ana wadhuk Gunung Rawa sing adadi salah siji pangisi banyu menyang wadhuk iki.,Di sebelah barat waduk ini juga terdapat waduk Gunung Rowo yang merupakan salah satu penyuplai air ke waduk ini.
"Waduk sing sebageyan gedhe dumunung ing desa Gembong kecamatan Gembong kabupaten Pathi iki, saiki dadi sumber panguripan tumrap desa Gembong lan saubenge.","Waduk yang sebagian besar terletak di desa Gembong kecamatan Gembong kabupaten Pati ini, sekarang menjadi sumber pendapatan bagi desa Gembong dan sekitarnya."
"Saliyane minangka sumber banyu kanggo lahan pertanian sawah ing kecamatan Gembong lan kecamatan kecamatan saubenge kaya Wedarijaksa, Juwana, Tlogowungu, lan Pathi uga dianggo lokasi pambudidayan iwak banyu tawa. Dununge sing ana ing tengah tengah ibukutha kecamatan saengga gampang diakses, andadekake lokasi iki minangka salah siji papan wisata alternatif ing kabupaten Pathi.","Selain sebagai sumber pengairan bagi lahan pertanian (sawah) di kecamatan Gembong dan kecamatan-kecamatan sekitar seperti Wedarijaksa, Juwana, Tlogowungu, dan Pati juga dipergunakan sebagai lokasi pembudidayaan ikan tawar. Letaknya yang tepat di tengah-tengah ibukota kecamatan sehingga mudah diakses, menjadikan lokasi ini sebagai salah satu tempat wisata alternatif di kabupaten Pati."
Saliyane iku ing saubenge wadhuk kerep dianggo papan wisata kemah.,Selain itu di sekitar area waduk juga sering digunakan sebagai tempat berkemah.
Cultuurstelsel,Cultuurstelsel
"Cultuurstelsel sacara kurang pas diterjemaake dadi ‘Tanam Paksa iku aturan kang dianakake dening Gubernur Jenderal Johannes van den Bosch kang majibake saben desa nyisaake sabagean lemahe 20% kanggo ditanduri tanduran dagang khususe kopi, tebu lan tarum nila.","Cultuurstelsel (harafiah: Sistem Kultivasi atau secara kurang tepat diterjemahkan sebagai Sistem Budaya) yang oleh sejarawan Indonesia disebut sebagai Sistem Tanam Paksa, adalah peraturan yang dikeluarkan oleh Gubernur Jenderal Johannes van den Bosch pada tahun 1830 yang mewajibkan setiap desa menyisihkan sebagian tanahnya (20%) untuk ditanami komoditi ekspor, khususnya kopi, tebu, dan tarum (nila)."
Asil tanduran iki bakal dituku dening pamarentah kolonial kanthi rega sing wis ditemtokake lan asil panen dipasrahake marang pamarentah kolonial.,Hasil tanaman ini akan dijual kepada pemerintah kolonial dengan harga yang sudah dipastikan dan hasil panen diserahkan kepada pemerintah kolonial.
Warga desa sing ora nduwe lemah kudu kerja 75 dina jroning sataun 20% ing kebon kebon duweke pamarentah.,Penduduk desa yang tidak memiliki tanah harus bekerja 75 hari dalam setahun (20%) pada kebun-kebun milik pemerintah yang menjadi semacam pajak.
Kabupaten Lampung Wetan,Kabupaten Lampung Timur
"Kabupaten Lampung Timur iku salah siji kabupaten ing Provinsi Lampung, kutha     iku ibukutha kabupatene, kutha kutha liyane :     lan liya yane.","Kabupaten Lampung Timur adalah salah satu kabupaten di Provinsi Lampung, Indonesia."
Kabupaten Sumba Kidul kulon,Kabupaten Sumba Barat Daya
16 taun 2007.,"Kabupaten Sumba Barat Daya adalah kabupaten di Provinsi Nusa Tenggara Timur, Indonesia, sebagai pemekaran dari Kabupaten Sumba Barat, dan dibentuk berdasarkan UU No. 16 tahun 2007."
Peresmian diayahi dening Penjabat Mendagri Widodo A.S. tanggal 22 Mei 2007.,Peresmian dilakukan oleh Penjabat Mendagri Widodo A.S. pada tanggal 22 Mei 2007.
Oisterwijk,Oisterwijk
"Oisterwijk iku sawijining gemeente ing provinsi Brabant Lor, Walanda. Latar wuri.","Oisterwijk, adalah sebuah ""gemeente"" Belanda yang terletak di provinsi Noord Brabant."
Henri Matisse,Henri Matisse
"Henri emile Benoît Matisse miyos wonten ing Le Cateau Cambresis, Nord, Perancis.","Henri-Émile-Benoît Matisse lahir di Le Cateau-Cambresis, Nord, Perancis."
